full_id,perc_max,num_season,year_2season,num_inactive,start_month_mode_seasonPrim,end_month_mode_seasonPrim,peak_month_mode_seasonPrim,dur_day_mean_seasonPrim,dur_day_median_seasonPrim,amp_mean_seasonPrim,start_month_mode_seasonSec,end_month_mode_seasonSec,peak_month_mode_seasonSec,dur_day_mean_seasonSec,dur_day_median_seasonSec,amp_mean_seasonSec,superficie,osm_id,X,Y,comm_fkt
w682674836,"29.9749247156376","5","0","0","3","3","9","373","371","18.3265556109385",NA,NA,NA,NA,NA,NA,"2376.538","682674836",47.7556847,-21.1456269,TSARATANANA_AMBODIRAFIA EST
w682676497,"16.8344473600792","7","0","2","5","4","9","340.8","350","9.92320207954885",NA,NA,NA,NA,NA,NA,"6318.999","682676497",47.7599522,-21.1437910,TSARATANANA_AMBODIRAFIA EST
w682676498,"33.1723515656995","6","1","0","4","4","9","310.5","335","16.6303676994702","10","5","1","209","209","18.1466656856333","836.0954",NA,47.7579139,-21.1389584,TSARATANANA_AMBODIRAFIA EST
w682677170,"36.9479490436428","10","4","1","6","12","9","200.8","202","38.7030691467051","12","6","3","175.5","177","31.1409549506182","54288.55","682677170",47.7080204,-21.5370839,ANDRORANGAVOLA_AMBALATABAKA
w682677177,"67.1401242790483","8","1","2","6","1","10","254","230","37.3999238158418","2","6","4","140","140","14.0624080251288","1977.622",NA,47.7113728,-21.5367787,ANDRORANGAVOLA_AMBALATABAKA
w682677178,"26.5092851421345","5","0","0","4","6","10","443.75","387.5","16.976322185667",NA,NA,NA,NA,NA,NA,"5437.263","682677178",47.7121139,-21.5375526,ANDRORANGAVOLA_AMBALATABAKA
w682677179,"57.0374490005088","10","3","1","6","12","9","233","189","50.3540323205104","12","6","3","169.333333333333","167","38.7644432880109","61279.89","682677179",47.7122457,-21.5412399,ANDRORANGAVOLA_AMBALATABAKA
w682680333,"41.9682795709291","11","4","1","7","1","10","211.8","195","17.7219218336738","1","6","4","159.75","153","10.8886750508978","4541.602","682680333",47.7097990,-21.5442207,ANDRORANGAVOLA_AMBALATABAKA
w682680335,"56.1539351468464","7","2","0","6","1","10","286","307","41.922891125969","2","6","4","149.5","149.5","18.37699779533","3503.529","682680335",47.7092023,-21.5443780,ANDRORANGAVOLA_AMBALATABAKA
w682680337,"81.1989823229797","9","2","1","7","1","10","261.2","251","42.0893098077493","12","7","3","190.5","190.5","36.6075255617869","508.8547",NA,47.7027279,-21.5391094,ANDRORANGAVOLA_AMBOHIMISAFY
w682680338,"44.4388678652234","5","0","0","5","5","9","357.2","364","28.4243673074657",NA,NA,NA,NA,NA,NA,"3345.754","682680338",47.7034185,-21.5391159,ANDRORANGAVOLA_AMBOHIMISAFY
w682680340,"28.9125142448909","7","0","2","6","6","9","311.4","350","15.6356151734044",NA,NA,NA,NA,NA,NA,"29391.41","682680340",47.7062225,-21.5380200,ANDRORANGAVOLA_AMBALATABAKA
w682680350,"36.3826817769174","9","2","1","6","6","9","263.8","203","36.5557668423298","12","6","3","184","184","37.5508244769495","22386.71","682680350",47.7100241,-21.5388763,ANDRORANGAVOLA_AMBALATABAKA
w682680351,"22.4566543013851","6","0","1","4","4","11","364.75","349","9.81646649514639",NA,NA,NA,NA,NA,NA,"2015.975","682680351",47.7123512,-21.5395842,ANDRORANGAVOLA_AMBALATABAKA
w682680352,"1.08737673503974","4","0","1","2","11","6","255.333333333333","258","0.842149389725531",NA,NA,NA,NA,NA,NA,"1179.869",NA,47.7109060,-21.5396523,ANDRORANGAVOLA_AMBALATABAKA
w682681570,"44.1953842700496","7","1","0","5","5","10","343.4","320","22.0789049678137","1","6","4","146","146","9.22736887259331","1466.896",NA,47.7907321,-21.1422347,TSARATANANA_BEFARY
w682681571,"30.8885814472117","5","0","0","6","6","2","371.75","377.5","19.3278619817079",NA,NA,NA,NA,NA,NA,"104582.6","682681571",47.7873396,-21.1446260,TSARATANANA_BEFARY
w682683717,"30.4197137799837","8","1","2","6","2","10","261.5","240","26.5092860417582","1","7","4","188","188","6.66835991324008","3574.637","682683717",47.7814638,-21.1437569,TSARATANANA_BEFARY
w682683725,"19.0988993404658","10","1","3","6","3","8","237","215","9.2633645136302","12","6","3","188","188","3.78283706784084","943.2935",NA,47.7805968,-21.1425795,TSARATANANA_BEFARY
w682683729,"43.0016988233926","6","0","0","4","4","9","362.8","370","23.4931659174007",NA,NA,NA,NA,NA,NA,"1625.938",NA,47.7810442,-21.1383158,TSARATANANA_BEFARY
w682683734,"68.7812993224104","5","0","0","2","2","9","378.75","370.5","27.8402393969918",NA,NA,NA,NA,NA,NA,"3259.033","682683734",47.7834957,-21.1355775,TSARATANANA_BEFARY
w682683757,"29.7930314905557","9","1","2","6","2","10","261","250","20.5575605285637","2","6","4","139","139","6.5552498379318","14137.64","682683757",47.7893672,-21.1378611,TSARATANANA_BEFARY
w682683763,"11.6056846901089","10","3","2","8","1","12","229","227","8.30847420195582","1","8","6","175.666666666667","166","3.34296049318339","1090.973",NA,47.7834379,-21.1399940,TSARATANANA_BEFARY
w682685956,"35.7088321230863","9","2","1","7","7","10","260.4","230","23.4042275042057","9","6","2","217","217","30.7306199318739","7600.284","682685956",47.6265754,-21.5248839,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
w682685979,"28.7931538582506","5","0","0","6","6","2","376.75","370","22.4007879000286",NA,NA,NA,NA,NA,NA,"37974.01","682685979",47.6292241,-21.5265392,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
w682686783,"54.8030470138917","5","0","0","4","5","9","375.25","370.5","21.1662101611965",NA,NA,NA,NA,NA,NA,"3524.681","682686783",47.7933358,-21.1449333,TSARATANANA_BEFARY
w682686792,"9.52200025792599","7","0","1","4","4","12","310.2","328","3.9348323000739",NA,NA,NA,NA,NA,NA,"3186.62",NA,47.8000890,-21.1444988,TSARATANANA_BEFARY
w682689275,"41.3893606853347","5","0","0","6","6","1","366.25","363","27.3036346965843",NA,NA,NA,NA,NA,NA,"38971.8","682689275",47.6287854,-21.5236591,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
w682689282,"31.5551111572175","8","1","1","6","6","10","313.8","364","23.4458406948353","1","6","3","146","146","12.7528125205952","23600.54","682689282",47.6302240,-21.5255489,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
w682689288,"35.0262305285685","6","1","0","4","12","9","321.25","311","13.8900612764484","12","8","3","237","237","9.20091108451941","8702.698","682689288",47.6356934,-21.5286006,ANDRORANGAVOLA_AMBALAVAONA
w682689292,"61.9208721393513","9","0","4","6","1","10","276.25","255","31.7571203777768",NA,NA,NA,NA,NA,NA,"792.6202",NA,47.6360639,-21.5321814,MAROTOKO_AMBALAVIA
w682689294,"55.407361297284","6","0","1","2","2","10","331","328","31.9863917680531",NA,NA,NA,NA,NA,NA,"2144.793","682689294",47.6364220,-21.5322578,MAROTOKO_AMBALAVIA
w682689327,"62.1435744104929","9","2","1","6","6","10","260.8","216","47.3534886037977","12","6","3","184","184","56.9876967503276","23089.18","682689327",47.6324519,-21.5328035,MAROTOKO_AMBALAVIA
w682689495,"79.3888766990753","6","0","0","4","5","10","356","376","26.1337995608138",NA,NA,NA,NA,NA,NA,"1843.347",NA,47.7917306,-21.1375598,TSARATANANA_BEFARY
w682689496,"36.2492207988957","8","1","1","7","7","10","301.4","349","28.6571625702012","1","6","3","147","147","17.4675512907365","93853.84","682689496",47.7949661,-21.1391725,TSARATANANA_BEFARY
w682689497,"44.4722160007005","9","1","2","6","2","10","256.8","230","25.5566045153449","1","6","3","175","175","16.7978223176109","4391.539","682689497",47.7919937,-21.1402687,TSARATANANA_BEFARY
w682689498,"43.0088549827578","8","3","0","6","1","10","276","222","35.0721411591113","1","6","3","155.333333333333","153","21.4752788942985","60254.68","682689498",47.7974986,-21.1417831,TSARATANANA_BEFARY
w682691390,"23.0366864316556","6","0","1","6","7","2","331.75","359","18.2873261763062",NA,NA,NA,NA,NA,NA,"31482.97","682691390",47.6310405,-21.5303846,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
w682691391,"62.8876185586406","5","0","0","4","6","10","354.5","362.5","41.0168466519156",NA,NA,NA,NA,NA,NA,"2109.6","682691391",47.6335286,-21.5324332,MAROTOKO_AMBALAVIA
w682691407,"5.11809377380841","6","0","1","12","6","12","410.25","391","3.31173553574957",NA,NA,NA,NA,NA,NA,"3216.253","682691407",47.6305267,-21.5274575,ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO
w682692817,"20.4028840159946","8","1","1","6","6","10","293","335","14.0846394950103","12","6","3","167","167","11.5598228578972","4145.165","682692817",47.8127955,-21.1427513,TSARATANANA_AMBALAFARY
w682693090,"44.5243398613189","11","3","2","6","1","9","213.4","209","47.0571299446162","12","6","3","162","161","24.2703748090156","30721.1","682693090",47.7682165,-20.7288571,MAROHARATRA_MAROHARATRA
w682693300,"57.5553575309243","6","0","1","6","6","11","391.25","313.5","22.4952501215098",NA,NA,NA,NA,NA,NA,"9913.904","682693300",47.6394027,-21.5255760,ANDRORANGAVOLA_AMBALAVAONA
w682693306,"16.0684416522214","6","1","1","4","7","12","403","441","7.79851564559318","12","6","3","202","202","5.14430656084193","3614.731","682693306",47.6471568,-21.5269912,ANDRORANGAVOLA_AMBALAVAONA
w682693316,"38.7866441626338","8","0","2","6","7","11","297.4","336","18.3050604252771",NA,NA,NA,NA,NA,NA,"1537.907",NA,47.6471562,-21.5295356,ANDRORANGAVOLA_AMBALAVAONA
w682693318,"40.1122277104889","5","0","0","7","7","1","361","366","23.7026984502464",NA,NA,NA,NA,NA,NA,"14897.58","682693318",47.6457495,-21.5339372,ANDRORANGAVOLA_AMBALAVAONA
w682693330,"28.1752110259106","6","0","2","3","6","9","366.5","387.5","21.9472187621505",NA,NA,NA,NA,NA,NA,"1634.418",NA,47.6407970,-21.5331790,ANDRORANGAVOLA_AMBALAVAONA
w682693342,"3.22429058396539","5","0","1","6","2","12","304.333333333333","264","2.38121638268941",NA,NA,NA,NA,NA,NA,"2313.012",NA,47.6431964,-21.5287867,ANDRORANGAVOLA_AMBALAVAONA
w682693988,"24.1191168916266","7","1","0","8","8","1","322.4","336","12.9253635294116","1","6","3","167","167","6.23830553301729","9295.334","682693988",47.8112940,-21.1624257,TSARATANANA_BEFARY
w682693989,"35.2353917933482","4","0","0","2","1","1","471.5","346","20.2979944444051",NA,NA,NA,NA,NA,NA,"1591.686",NA,47.8104992,-21.1582771,TSARATANANA_BEFARY
w682693990,"28.2427964334569","7","0","1","5","3","10","340.4","329","7.27972473008762",NA,NA,NA,NA,NA,NA,"6562.764","682693990",47.8028349,-21.1609467,TSARATANANA_BEFARY
w682694481,"34.268756859338","7","0","1","6","3","11","354.6","363","20.0575602546228",NA,NA,NA,NA,NA,NA,"2017.276","682694481",47.8145752,-21.1378810,TSARATANANA_AMBALAFARY
w682694483,"22.3393751763508","6","0","0","5","5","10","360.2","371","13.5850120413171",NA,NA,NA,NA,NA,NA,"3573.83","682694483",47.8127038,-21.1402335,TSARATANANA_AMBALAFARY
w682694485,"25.8611746748762","5","0","0","5","5","12","344.6","362","11.8294488848034",NA,NA,NA,NA,NA,NA,"1831.019",NA,47.8140036,-21.1396611,TSARATANANA_AMBALAFARY
w682695990,"55.749491997534","10","3","1","6","1","10","248.2","223","36.3698993958821","1","6","3","157.666666666667","166","22.5062716844726","21906.89","682695990",47.6788483,-21.5257993,ANDRORANGAVOLA_AMBODIRORANGA
w682695991,"22.1373842246349","5","0","0","5","5","9","443.25","363","14.6605289392809",NA,NA,NA,NA,NA,NA,"4943.87","682695991",47.6771496,-21.5271331,ANDRORANGAVOLA_AMBODIRORANGA
w682695997,"97.6104125146306","5","0","0","1","1","9","364.75","345.5","37.5320442724732",NA,NA,NA,NA,NA,NA,"624.239",NA,47.6806286,-21.5256389,ANDRORANGAVOLA_AMBODIRORANGA
w682695998,"30.1881310885873","5","0","0","6","6","11","370","367","23.9352267818177",NA,NA,NA,NA,NA,NA,"14053.58","682695998",47.6807165,-21.5280691,ANDRORANGAVOLA_AMBODIRORANGA
w682695999,"39.2600197879093","7","2","1","7","2","10","261.75","244","24.8386401733569","2","7","4","160","160","10.5477949464365","1999.594",NA,47.6791414,-21.5275550,ANDRORANGAVOLA_AMBODIRORANGA
w682696000,"55.514600033579","9","2","1","6","3","10","252.6","224","34.4299987983914","2","6","4","149.5","149.5","16.7381798043342","6984.805","682696000",47.6800343,-21.5291889,ANDRORANGAVOLA_AMBODIRORANGA
w682696002,"58.8579796802968","5","0","0","6","6","1","370.25","370.5","29.3936599273766",NA,NA,NA,NA,NA,NA,"30949.5","682696002",47.6734371,-21.5329076,ANDRORANGAVOLA_AMBODIRORANGA
w682697179,"59.6518997887963","8","2","1","6","2","9","254.75","241.5","28.7025456337689","2","7","5","166.5","166.5","14.3502593070842","9756.656","682697179",47.7939920,-21.1337239,TSARATANANA_AMBALAFARY
w682697180,"26.5355211104229","7","0","2","6","2","10","321","321","14.5915895015114",NA,NA,NA,NA,NA,NA,"1949.357",NA,47.7993243,-21.1340855,TSARATANANA_AMBALAFARY
w682697181,"50.8300039976816","5","0","0","3","3","9","371.75","384.5","27.0918622723726",NA,NA,NA,NA,NA,NA,"2540.869","682697181",47.8000842,-21.1310027,TSARATANANA_AMBALAFARY
w682697185,"54.9349057693345","6","0","0","4","2","2","357.4","335","20.2056346980462",NA,NA,NA,NA,NA,NA,"1372.407",NA,47.7991007,-21.1280338,TSARATANANA_AMBALAFARY
w682697186,"35.3148798589772","9","2","2","5","2","10","313.75","314","22.4858997528333","2","7","4","133","133","6.91913511430272","2183.816","682697186",47.7945720,-21.1260465,TSARATANANA_AMBALAFARY
w682697187,"29.4064340000591","9","3","3","6","2","10","198","201.5","22.7780467704405","2","6","4","179","168","14.6630998009473","2399.038","682697187",47.7943758,-21.1264732,TSARATANANA_AMBALAFARY
w682697188,"61.6652442781252","9","3","0","6","2","10","263.6","238","30.5364910776281","2","6","5","148.666666666667","139","12.2228335012041","11255.12","682697188",47.7934393,-21.1282349,TSARATANANA_AMBALAFARY
w682697229,"62.7384448855589","8","1","2","7","1","10","280.6","313","50.7526988098638","1","6","3","140","140","21.2416700353103","3535.497","682697229",47.6843870,-21.5283715,ANDRORANGAVOLA_AMBODIRORANGA
w682697232,"7.65907939946354","4","0","3","5","2","9","286","286","2.23963827885638",NA,NA,NA,NA,NA,NA,"1851.173",NA,47.6857705,-21.5274065,ANDRORANGAVOLA_AMBODIRORANGA
w682697233,"24.5185307992165","7","0","1","6","6","3","300","321","17.4654421357832",NA,NA,NA,NA,NA,NA,"930.6129",NA,47.6866196,-21.5266654,ANDRORANGAVOLA_AMBODIRORANGA
w682697234,"62.1375254842822","11","5","0","6","12","9","192","195","50.819435971575","12","6","3","179.8","181","41.0179947837517","10896.68","682697234",47.6877748,-21.5269665,ANDRORANGAVOLA_AMBODIRORANGA
w682697235,"66.5285601105727","8","3","0","6","1","10","263.8","195","59.0628567356071","1","6","3","167","167","62.4994246255829","12398.47","682697235",47.6884857,-21.5276152,ANDRORANGAVOLA_AMBODIRORANGA
w682697787,"69.5468309458753","6","1","0","7","5","10","312.6","329","26.8888855488436","12","7","4","208","208","19.0205757122766","3984.503","682697787",47.7888836,-21.1360171,TSARATANANA_BEFARY
w682697788,"60.4341274315655","6","1","1","5","2","10","287.75","296.5","37.7885768642506","2","7","5","139","139","11.4133588389247","5029.057","682697788",47.7814107,-21.1329810,TSARATANANA_BEFARY
w682697791,"22.7237891095752","8","1","2","6","1","10","263.4","238","14.2748768610303","1","6","3","140","140","5.34759978263217","5285.41","682697791",47.7808867,-21.1279901,TSARATANANA_AMBALAFARY
w682698048,"40.8858540655212","10","3","1","6","1","10","248.4","279","29.8721785659079","1","6","3","160","159","19.5583316640756","10276.89","682698048",47.8133880,-21.1471037,TSARATANANA_BEFARY
w682698061,"36.7863918851986","7","0","1","3","1","9","361.8","334","21.2385807095444",NA,NA,NA,NA,NA,NA,"1181.259",NA,47.8131556,-21.1522181,TSARATANANA_BEFARY
w682698063,"54.0030511825635","8","2","1","6","1","9","294.75","304.5","27.0099806098094","1","10","6","233.5","233.5","22.1083503097417","886.6007",NA,47.8145528,-21.1521493,TSARATANANA_BEFARY
w682698071,"27.2900667658932","10","4","0","7","1","10","243.8","195","22.0641237952856","1","7","4","162","164","16.6418887491279","2293.445","682698071",47.8162816,-21.1545676,TSARATANANA_BEFARY
w682699605,"50.9431211439507","7","2","0","5","2","10","294","286","31.1570646799949","2","6","4","143","143","11.7840706669507","3136.008","682699605",47.7766356,-21.1293052,TSARATANANA_AMBALAFARY
w682700660,"61.2370484622877","8","0","3","5","5","12","312.8","294","19.5451114805391",NA,NA,NA,NA,NA,NA,"13468.38","682700660",47.7639268,-21.1316874,TSARATANANA_BEFARY
w682700664,"64.3702920027533","6","0","1","3","1","9","326.6","314","36.0828299452189",NA,NA,NA,NA,NA,NA,"1570.281",NA,47.7639549,-21.1295517,TSARATANANA_AMBALAFARY
w682700665,"26.3961262697283","5","0","0","4","6","10","382.25","370","19.1989065969357",NA,NA,NA,NA,NA,NA,"25591.41","682700665",47.7611150,-21.1249362,TSARATANANA_AMBOHIMASINA
w682700666,"30.5265349569976","5","0","1","6","6","10","359.25","363.5","21.3164941374309",NA,NA,NA,NA,NA,NA,"8659.438","682700666",47.7587847,-21.1285453,TSARATANANA_AMBODIRAFIA EST
w682700669,"93.2259976397128","8","0","1","12","3","10","292","310","34.8450765463348",NA,NA,NA,NA,NA,NA,"861.1857",NA,47.7598066,-21.1352116,TSARATANANA_AMBODIRAFIA EST
w682700670,"72.40047074636","7","0","2","6","6","10","363","331.5","27.9834562531607",NA,NA,NA,NA,NA,NA,"3173.226","682700670",47.7656679,-21.1279034,TSARATANANA_AMBALAFARY
w682700671,"18.4250719942311","6","0","1","4","4","10","364.5","367","13.2098657248454",NA,NA,NA,NA,NA,NA,"1183.762",NA,47.7594545,-21.1312465,TSARATANANA_AMBODIRAFIA EST
w682703100,"53.2634607495269","8","0","2","5","2","10","282","285","37.614116705303",NA,NA,NA,NA,NA,NA,"3374.685","682703100",47.7048033,-21.5251155,ANDRORANGAVOLA_ANDRORANGAVOLA
w682703106,"54.9528744056582","7","0","1","6","2","10","333.4","357","21.8824836593972",NA,NA,NA,NA,NA,NA,"3873.387","682703106",47.7120938,-21.5341059,ANDRORANGAVOLA_AMBALATABAKA
w682703107,"35.3876375187472","8","1","1","6","6","10","301","362","27.9247914286641","12","6","3","182","182","22.1615811186708","81856.57","682703107",47.7089794,-21.5318121,ANDRORANGAVOLA_AMBALATABAKA
w682703119,"3.54118844328773","6","1","0","6","4","9","284.75","289.5","2.00411709210128","12","9","3","264","264","3.29609017158537","1534.954",NA,47.7108358,-21.5330426,ANDRORANGAVOLA_AMBALATABAKA
w682703121,"14.670609929931","9","0","3","6","6","11","280.4","272","8.52525331304204",NA,NA,NA,NA,NA,NA,"1154.649",NA,47.7073370,-21.5323548,ANDRORANGAVOLA_AMBALATABAKA
w682703123,"1.2838196315785","6","0","2","4","11","9","276.75","254","0.736850887691927",NA,NA,NA,NA,NA,NA,"1877.712",NA,47.7094026,-21.5293448,ANDRORANGAVOLA_AMBALATABAKA
w682703247,"24.5088209981231","6","0","0","5","6","10","368.8","383","18.7856232271678",NA,NA,NA,NA,NA,NA,"5721.16","682703247",47.7643114,-21.1196814,TSARATANANA_AMBOHIMASINA
w682703283,"67.559823339738","6","0","0","5","5","11","353.833333333333","349","46.1348245101464",NA,NA,NA,NA,NA,NA,"10876.44","682703283",47.7624400,-21.1227949,TSARATANANA_AMBOHIMASINA
w682703286,"97.8072142026375","7","0","2","1","11","7","347.25","342.5","30.0617819123706",NA,NA,NA,NA,NA,NA,"731.6747",NA,47.7630460,-21.1254787,TSARATANANA_AMBOHIMASINA
w682726260,"38.6641308320899","5","0","0","4","1","9","371.75","384.5","21.5412674205009",NA,NA,NA,NA,NA,NA,"5502.262","682726260",47.5147183,-21.3689062,RANOMAFANA_VOHIMARINA
